Palavra;Peso;Classe favorecida
3h;-0.07803631365472766;Verdadeira
3o;0.14492412829980308;Fake
3oc;-0.057813040775842685;Verdadeira
40;0.05445556775594438;Fake
400;0.3649194788697341;Fake
404;0.0317936145740202;Fake
405;-0.00033133523351405806;Verdadeira
408;0.03159409344722215;Fake
409;0.11523262605301413;Fake
41;-0.25735055016655384;Verdadeira
418;-0.02735404778581546;Verdadeira
419;-0.021425234533675744;Verdadeira
41a;-0.0037575889716473265;Verdadeira
42;0.12662521432639637;Fake
420;0.001312262862385367;Fake
422;0.00577197641670695;Fake
424;-0.03814998673444384;Verdadeira
425;-0.010877541531204805;Verdadeira
426;-6.505213034913027e-19;Verdadeira
427;0.0;Neutra
42a;-0.04090014817563158;Verdadeira
43;-0.05241629209796098;Verdadeira
430;-0.0003679975179218323;Verdadeira
44;-0.5351267640112707;Verdadeira
440;0.14984810730608325;Fake
442;-0.02659540277941713;Verdadeira
444;-0.005224040107271049;Verdadeira
446;-0.04346469007352331;Verdadeira
448;-0.032742446340814926;Verdadeira
449;0.0;Neutra
44a;0.0;Neutra
45;0.14357217162505131;Fake
450;-0.057965650876515444;Verdadeira
456;-0.012601426621147495;Verdadeira
457;0.037978979697397;Fake
459;0.0;Neutra
46;-0.06445554119861092;Verdadeira
460;-0.004392555464515972;Verdadeira
463;0.02204517327178742;Fake
464;0.0;Neutra
465;0.12407335621005862;Fake
46a;0.0;Neutra
47;-0.11578516298385608;Verdadeira
470;-0.02543213898802969;Verdadeira
471;-0.005163721541326048;Verdadeira
472;-0.014222827196653874;Verdadeira
473;0.0;Neutra
475;-0.03702948139192791;Verdadeira
478;-0.02180673423665659;Verdadeira
48;0.052526593246171996;Fake
480;0.01881339035965727;Fake
483;-5.421010862427522e-20;Verdadeira
489;-0.04314360639033385;Verdadeira
48a;-0.009870979122637853;Verdadeira
49;-0.016871489130254096;Verdadeira
494;0.0;Neutra
495;-0.023443336287958146;Verdadeira
497;-0.07308631355097778;Verdadeira
499;-0.00522404010727105;Verdadeira
4a;-0.12441819043352725;Verdadeira
4g;-0.05537229870294498;Verdadeira
4h;0.03201891390894521;Fake
4h30;0.0;Neutra
4h40;-4.336808689942018e-19;Verdadeira
4m;-0.054822978258868074;Verdadeira
4o;0.05681182584066316;Fake
50;-0.2728639375374146;Verdadeira
500;0.16486077945195693;Fake
503;-0.007874612300996392;Verdadeira
